Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist COVID,Chrome 92.0.4515.159,,,2021-08-30 09:13:46,2021-08-30 09:16:44,2m - 57.998s,PASSED
,,,,,,,
Test Cases/Pre-regist Covid/linktree,Chrome 92.0.4515.159,,,2021-08-30 09:13:46,2021-08-30 09:16:44,2m - 57.497s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-30 09:13:47,2021-08-30 09:13:49,2.314s,PASSED
"navigateToUrl(""https://mysiloam-api-staging.siloamhospitals.com/linktree/"")",Chrome 92.0.4515.159,,,2021-08-30 09:13:49,2021-08-30 09:13:50,0.684s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/div_Select""), 120)",Chrome 92.0.4515.159,,,2021-08-30 09:13:50,2021-08-30 09:13:51,1.371s,PASSED
maximizeWindow(),Chrome 92.0.4515.159,,,2021-08-30 09:13:51,2021-08-30 09:13:52,0.175s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-30 09:13:52,2021-08-30 09:13:54,2.045s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/div_Select""))",Chrome 92.0.4515.159,,,2021-08-30 09:13:54,2021-08-30 09:13:54,0.430s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-30 09:13:54,2021-08-30 09:13:56,2.017s,PASSED
"setText(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/input_Select_react-select-2-input""), NamaRS)",Chrome 92.0.4515.159,,,2021-08-30 09:13:56,2021-08-30 09:13:57,0.856s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-30 09:13:57,2021-08-30 09:13:59,2.019s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Pilih RS""))",Chrome 92.0.4515.159,,,2021-08-30 09:13:59,2021-08-30 09:13:59,0.458s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-30 09:13:59,2021-08-30 09:14:01,2.012s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Pilih NonDT""))",Chrome 92.0.4515.159,,,2021-08-30 09:14:01,2021-08-30 09:14:02,0.442s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-30 09:14:02,2021-08-30 09:14:03,1.012s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Rapid Test Serology""), 30)",Chrome 92.0.4515.159,,,2021-08-30 09:14:03,2021-08-30 09:14:03,0.394s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Rapid Test Serology""))",Chrome 92.0.4515.159,,,2021-08-30 09:14:03,2021-08-30 09:14:04,0.414s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-30 09:14:04,2021-08-30 09:14:06,2.010s,PASSED
"click(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/button_Pilih""))",Chrome 92.0.4515.159,,,2021-08-30 09:14:06,2021-08-30 09:14:06,0.421s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Nama Lengkap(Sesuai ID)_name""), 30)",Chrome 92.0.4515.159,,,2021-08-30 09:14:06,2021-08-30 09:14:09,2.946s,PASSED
"setText(findTestObject(""Pre-regist Covid/linktree/Page_Siloam Hospitals Registration Form/Nama Lengkap(Sesuai ID)_name""), NamaSID)",Chrome 92.0.4515.159,,,2021-08-30 09:14:09,2021-08-30 09:14:10,0.967s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-30 09:14:10,2021-08-30 09:14:11,1.013s,PASSED
