Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pre-regist OPD,Chrome 92.0.4515.159,,,2021-08-31 10:16:35,2021-08-31 10:17:03,28.238s,PASSED
,,,,,,,
Test Cases/Pre-regis OPD/appointment microsite,Chrome 92.0.4515.159,,,2021-08-31 10:16:35,2021-08-31 10:17:03,27.910s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-31 10:16:36,2021-08-31 10:16:38,2.002s,PASSED
"navigateToUrl(""http://10.85.139.12/appointment-microsite/"")",Chrome 92.0.4515.159,,,2021-08-31 10:16:38,2021-08-31 10:16:39,1.781s,PASSED
maximizeWindow(),Chrome 92.0.4515.159,,,2021-08-31 10:16:39,2021-08-31 10:16:40,0.154s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist OPD/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/button_Cari""), 120)",Chrome 92.0.4515.159,,,2021-08-31 10:16:40,2021-08-31 10:16:40,0.548s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-31 10:16:40,2021-08-31 10:16:41,1.022s,PASSED
"click(findTestObject(""Object Repository/Pre-regist OPD/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/input_Nama Dokter""))",Chrome 92.0.4515.159,,,2021-08-31 10:16:41,2021-08-31 10:16:41,0.366s,PASSED
"setText(findTestObject(""Object Repository/Pre-regist OPD/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/input_Nama Dokter""), NamaDokter)",Chrome 92.0.4515.159,,,2021-08-31 10:16:41,2021-08-31 10:16:42,0.807s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-31 10:16:42,2021-08-31 10:16:44,2.004s,PASSED
"click(findTestObject(""Pre-regist OPD/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/klik nama dokter""))",Chrome 92.0.4515.159,,,2021-08-31 10:16:44,2021-08-31 10:16:45,0.402s,PASSED
delay(2),Chrome 92.0.4515.159,,,2021-08-31 10:16:45,2021-08-31 10:16:47,2.010s,PASSED
"click(findTestObject(""Object Repository/Pre-regist OPD/Page_Cari Jadwal  Buat Janji dengan Dokter _791af4/button_Cari""))",Chrome 92.0.4515.159,,,2021-08-31 10:16:47,2021-08-31 10:16:47,0.343s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist OPD/Page_Cari Jadwal Praktek Dr. dr. John C. P._b32dd8/button_Buat Janji Temu""), 120)",Chrome 92.0.4515.159,,,2021-08-31 10:16:47,2021-08-31 10:16:48,1.125s,PASSED
"click(findTestObject(""Object Repository/Pre-regist OPD/Page_Cari Jadwal Praktek Dr. dr. John C. P._b32dd8/button_Buat Janji Temu""))",Chrome 92.0.4515.159,,,2021-08-31 10:16:48,2021-08-31 10:16:49,0.361s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-31 10:16:49,2021-08-31 10:16:50,1.010s,PASSED
"waitForElementVisible(findTestObject(""Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/pilih tanggal""), 30)",Chrome 92.0.4515.159,,,2021-08-31 10:16:50,2021-08-31 10:16:50,0.357s,PASSED
"scrollToElement(findTestObject(""Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/pilih tanggal""), 30)",Chrome 92.0.4515.159,,,2021-08-31 10:16:50,2021-08-31 10:16:50,0.325s,PASSED
"if (TanggalJanji != ""0"")",Chrome 92.0.4515.159,,,2021-08-31 10:16:50,2021-08-31 10:16:50,0.002s,NOT_RUN
"click(findTestObject(""Object Repository/Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/span_31""))",Chrome 92.0.4515.159,"tiap bulan diupdate, dibikin if
",,2021-08-31 10:16:50,2021-08-31 10:16:51,0.367s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-31 10:16:51,2021-08-31 10:16:52,1.018s,PASSED
"click(findTestObject(""Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/pilih jam""))",Chrome 92.0.4515.159,,,2021-08-31 10:16:52,2021-08-31 10:16:52,0.340s,PASSED
"click(findTestObject(""Object Repository/Pre-regist OPD/Page_Buat Janji Dengan Dr. dr. John C. P. B_f26caf/button_Lanjut""))",Chrome 92.0.4515.159,,,2021-08-31 10:16:52,2021-08-31 10:16:53,0.589s,PASSED
delay(1),Chrome 92.0.4515.159,,,2021-08-31 10:16:53,2021-08-31 10:16:54,1.017s,PASSED
"if (Reservasi == ""Orang lain"")",Chrome 92.0.4515.159,,,2021-08-31 10:16:54,2021-08-31 10:17:03,9.411s,PASSED
